id,avibase id,rank,common_name,order,family,subfamily,genus,Species_Avonet,Species_BirdTree,Species_BirdLife,Species,annotation,status_hawaiian,status_introduced,status_nonbreeding,status_misplaced,Species_Iridescence,Body_Feathers,Body_Male,Body_Female,Flight_Feathers,Flight_Male,Flight_Female,NonFlight_Feathers,NonFlight_Male,NonFlight_Female,Dorsal_Feathers,Dorsal_Male,Dorsal_Female,Breeding_Plumage,Male_Iridescence,Male_Plumage,Male_Hue,Male_Head,Male_Neck_Throat,Male_Breast_Underparts,Male_Back_Upperparts,Male_Wings,Male_Rump,Male_Tail,Male_Text,Male_ID,Female_Iridescence,Female_Plumage,Female_Hue,Female_Head,Female_Neck_Throat,Female_Breast_Underparts,Female_Back_Upperparts,Female_Wings,Female_Rump,Female_Tail,Female_Text,Female_ID,Notes,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
2,66C31E09F8C285D6,species,Highland Tinamou,Tinamiformes,Tinamidae,,Nothocercus,Nothocercus bonapartei,Nothocercus bonapartei,Nothocercus bonapartei,Nothocercus bonapartei,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,36.5,10.2,4.8,5.6,68.8,212,31.2,180.8,14.7,60,763,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-5.36,11.04,5.34,-74.93,137927.21
1,42D72AE118D2DE82,species,Great Tinamou,Tinamiformes,Tinamidae,,Tinamus,Tinamus major,Tinamus major,Tinamus major,Tinamus major,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,38.5,11.4,5.2,5.9,64.4,241,51.3,193.1,20.9,83.2,1026.21,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-18.07,18.96,-1.53,-66.06,7672718.39
3,39DD9DD76680A7F0,species,Little Tinamou,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus soui,Crypturellus soui,Crypturellus soui,Crypturellus soui,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,24.2,8,4.2,3.9,36.4,127.5,32.9,96.4,25.4,47.9,216.16,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-22.54,19.13,-4.47,-60.51,11151222.76
4,AAB5CEED3FC9EDE1,species,Thicket Tinamou,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus cinnamomeus,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,26.6,10.7,5.3,4.9,45.2,156.7,35.6,122.3,22.5,49.2,422,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,9.55,24.88,18.39,-93.19,661411.76
5,5183B60E14DE99FD,species,Slaty-breasted Tinamou,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus boucardi,Crypturellus boucardi,Crypturellus boucardi,Crypturellus boucardi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,28.9,10.9,5.2,4.8,50,165,41.4,123.6,25.1,49.2,435.62,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,9.86,18.87,15.51,-88.57,334426.96
6,2ED97B5485B54942,species,Choco Tinamou,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus kerriae,Crypturellus kerriae,Crypturellus kerriae,Crypturellus kerriae,Monotypic.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,31.2,10.6,5.1,4.8,49.6,154.1,33.6,120.5,21.8,54.2,443.4,Inferred,NA,YES,Tail Length; Body Mass,Crypturellus obsoletus,Forest,1,1,Herbivore,Omnivore,Terrestrial,5.95,7.84,7.18,-77.66,6147.23
7,A534AFEA126DBD62,species,White-faced Whistling-Duck,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna viduata,Dendrocygna viduata,Dendrocygna viduata,Dendrocygna viduata,Monotypic.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,48.1,30.7,15.7,14.1,47.9,214.3,58.6,151.6,28,67.1,689.99,Dunning,NA,NO,NA,NA,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,-39.24,18.31,-6.68,-0.49,27415311.66
8,C01A22D6C148AC65,species,Black-bellied Whistling-Duck,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,50.8,34.6,18.3,16.1,52.7,240.8,79.1,163.4,32.7,66,755.3,Dunning,NA,NO,NA,NA,Wetland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,-28.64,32.34,-4.7,-62.43,9443719.89
9,DC65FCE73C5A66BA,species,West Indian Whistling-Duck,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna arborea,Dendrocygna arborea,Dendrocygna arborea,Dendrocygna arborea,Monotypic.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,52.9,37.8,19.6,17.2,65.5,256.5,77.2,179.3,30.1,72.8,1150,Dunning,NA,NO,NA,NA,Forest,3,2,Herbivore,Omnivore,Terrestrial,15.2,24.8,21.23,-77.39,101817.5
10,9A60617EE376ABE9,species,Fulvous Whistling-Duck,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor,Monotypic.,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,50.8,33.4,17.6,15.4,50.5,223,65.5,155,29.7,63,756.37,Dunning,NA,NO,NA,NA,Wetland,3,2,Herbivore,Omnivore,Terrestrial,-39.86,34.72,-5.6,11.08,18668766.17
